date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:39	20404/20404	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-4fb4%22	https://demo.themefisher.com/copper/plugins/shuffle/shuffle.min.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/shuffle/shuffle.min.js	(from https://demo.themefisher.com/copper/)
01:03:40	14690/14690	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-3962%22	https://demo.themefisher.com/copper/plugins/aos/aos.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/aos/aos.js	(from https://demo.themefisher.com/copper/)
01:03:40	9191/9191	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-23e7%22	https://demo.themefisher.com/copper/js/script.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/js/script.js	(from https://demo.themefisher.com/copper/)
01:03:41	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2ec-1339c%22	https://demo.themefisher.com/copper/plugins/themify-icons/fonts/themify.eot?-fvbane	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/fonts/themify9f24.eot	(from https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css)
01:03:41	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2ec-1339c%22	https://demo.themefisher.com/copper/plugins/themify-icons/fonts/themify.eot?	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/fonts/themifyd41d.eot	(from https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css)
01:03:42	56108/56108	---M--	200	added ('OK')	application/font-woff	etag:%2261ebb2ec-db2c%22	https://demo.themefisher.com/copper/plugins/themify-icons/fonts/themify.woff?-fvbane	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/fonts/themify9f24.woff	(from https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css)
01:03:43	78584/78584	---M--	200	added ('OK')	application/octet-stream	etag:%2261ebb2ec-132f8%22	https://demo.themefisher.com/copper/plugins/themify-icons/fonts/themify.ttf?-fvbane	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/fonts/themify9f24.ttf	(from https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css)
01:03:43	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2ec-3931d%22	https://demo.themefisher.com/copper/plugins/themify-icons/fonts/themify.svg?-fvbane	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/themify-icons/fonts/themify9f24.svg	(from https://demo.themefisher.com/copper/plugins/themify-icons/themify-icons.css)
01:03:44	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2261ebb2ec-1052%22	https://demo.themefisher.com/copper/plugins/slick/ajax-loader.gif	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/slick/ajax-loader.gif	(from https://demo.themefisher.com/copper/plugins/slick/slick-theme.css)
01:03:44	2048/2048	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2261ebb2ec-800%22	https://demo.themefisher.com/copper/plugins/slick/fonts/slick.eot	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/slick/fonts/slick.eot	(from https://demo.themefisher.com/copper/plugins/slick/slick-theme.css)
